sample_id,site,LM1-4,LM4-5,LM5-6,LM6-11,LM7-11,LM7-9,LM9-10,LM1-10,LM1-2,LM2-3,LM6-10,LM6-9,LM11-17,LM7-12,LM6-12,LM7-14,LM9-13,LM9-14,LM12-14,LM13-14,LM12-15,LM12-13,LM14-18,LM13-16,LM13-15,LM14-15,LM15-16,LM6-15,LM16-18,LM17-18,LM17-19,LM16-19,LM18-19,LM15-20,LM11-20,LM17-20
Sde-AMat_035 ,Matnog,91.15014626082615,148.67160866453287,147.57383827565786,93.30060896735881,132.6978753902639,158.65651086167247,234.30594087485275,234.19671381063398,114.9870449128944,158.0846374732536,339.56942219234054,317.9244036886285,1348.9701158009875,424.8677395981485,475.93580277307365,544.3025173645719,753.3217807728447,646.5998106648116,321.19315206755266,245.93757146479263,665.882811843916,220.46570062685464,843.4789340524396,584.6918073443137,460.30508921115586,430.74679951856865,158.99357760327914,1111.5454384106886,285.5789697823704,112.62395744800484,101.40120636979626,218.52808817074296,135.45327307968608,163.77443868015553,961.2725513706557,387.70417904216606
Sde-CMat_170 ,Matnog,115.81068227313924,154.52113924851835,159.7517654670833,97.27253256341179,115.27032495312913,169.62857571567943,209.85943489888652,245.5034863999491,141.56094136703106,160.19679061544898,353.9284850529694,292.0988183695545,1484.5273388978894,483.4857703229952,532.4074763410823,643.0917946960994,835.9001872938298,765.3924447919904,389.22826208189196,309.2073275021147,724.5167855053738,217.64092594521358,911.9350627216884,629.7874684384328,520.229833628609,466.0452402398827,137.4238626652591,1223.015094736627,335.20552447959443,117.61274843098424,107.32479478857616,265.7948598287031,149.69724488433314,184.8380297295175,1053.7967028506825,430.7382498171714
Sde-AMat_014 ,Matnog,119.27629854015424,213.3257231278029,179.86623525056058,119.42264019732606,142.434100328573,218.0354735340101,251.70530443542498,302.47933197342593,182.4071476502223,182.5932029391018,447.1222105480559,399.5504914958934,1984.9781562039666,686.510407841061,726.9377148794591,886.9833765589578,1156.1738729043009,1029.539314343503,494.9908338805983,409.00692013637126,995.4885626616159,299.8432742891027,1203.1990146625785,862.3742491513993,713.7622930876636,684.0630365101157,180.9027375565112,1685.247044525876,367.18417486732733,130.0463472129841,142.16613042243935,290.5907126644107,183.82348244500753,263.61825771983223,1413.2865478444562,571.691608402152
Sde-CMat_189 ,Matnog,101.93387928701624,126.94325115499447,149.29840134368484,82.169705371262,86.44281035979797,152.9622483264744,183.1124070140797,210.61122524547454,116.359459297214,132.0771808588069,324.2851402331596,254.01677091627238,1249.6277555805368,404.40407730764775,429.7719228068418,518.2675886706596,708.8964090551807,621.0299930625655,343.7167148432703,297.845142276385,644.9436601916946,180.65516621500197,811.3060072122971,565.0573919889555,473.56568629875414,465.6554437309736,115.59268461580955,1049.1252683451153,248.38480259758242,89.73737073599828,95.0965831667994,195.47926912081996,128.433383678894,171.44073925948874,887.4605200382099,362.1730611146555
Sde-AMat_011 ,Matnog,102.16472718751811,164.40709036245977,160.33783082703837,97.88528527148499,106.66007982764685,189.04406167983694,217.60611337039686,243.51364668710048,140.02124631087244,136.41917283552925,380.09256143797387,329.9250791974596,1541.2603027250136,537.6371737594417,570.3806812484801,647.2765477335324,924.6183625805514,772.3320981436742,337.77793944098823,293.4817195837076,802.7879495374601,243.7581587418357,949.6305502438091,725.2452018564204,571.0297252431697,600.6674714465233,179.51059952273025,1344.4720165838335,225.60381596464612,99.66880294254534,126.56747114962032,166.57443636404713,147.05785389434328,262.5864433892389,1069.8964600174588,471.397541666787
Sde-CMat_173 ,Matnog,96.9492960359177,152.32380838611536,143.36314522289194,96.57207330155026,115.7814244754745,171.93988673931946,201.5614175507059,244.75357502271544,133.81178469451038,137.33253702629975,336.5312333932915,302.53790884373484,1451.5094068364353,475.3245157337038,529.6560171108132,593.5425354635335,837.1555006719182,702.710009723506,384.0733000190978,339.16026510598203,722.4668607500275,228.9562683352434,925.9747118242269,618.5859527802098,509.74520352819394,513.9380488039001,136.2547007812943,1219.0267185940963,295.6451176732671,102.19167970656912,111.39807823997693,232.84144143904015,148.58938909158354,169.23345236238012,1059.3427481812766,392.19437085200485
Sde-AMat_042 ,Matnog,91.65542264879913,146.1805273949988,151.3893772075174,91.00266099142378,99.62127787922618,160.4636365589725,196.29582334397742,225.10882538008144,123.94422817158531,145.01320257038668,338.3645113506586,291.63363074021487,1373.7488233559002,426.64315472938273,456.1262739525208,574.934184767648,755.1769024122559,676.6873892197565,354.92629103660386,265.04317892064296,710.6807280791354,217.14749030776284,859.24349335171,623.032183030893,499.3611564821698,477.7547350313652,145.26606176079116,1142.3392050557313,249.25636489367736,88.67605687422058,113.3985293735769,216.01057559758496,132.92008993906828,174.43343812185216,968.6584676536771,405.5761255069757
Sde-CMat_188 ,Matnog,100.44544522406183,151.31513470185325,154.15337761852643,92.96481264569941,124.57339538577247,156.66499111345837,221.3901518477505,243.18609899120463,126.44554828423182,152.5403207078378,350.3055998915519,307.45778291064613,1449.628312945315,471.35889150847675,510.77149860603015,585.467463146587,827.4686549613587,679.5394174749247,389.61992262460103,355.6407896642341,851.9154583553993,237.27215568835737,951.398649946572,733.5526104427753,630.8249132810862,642.9536887785075,138.27475815650524,1334.447973777779,243.45068555305,115.87459943387086,103.62793855500534,131.65733103116563,151.08183131005535,302.44325116664453,1028.8480650210893,420.7879068821252
Sde-AMat_047 ,Matnog,109.14576706414225,100.36168028291476,146.01895109313722,87.16997205597812,104.29240990048118,160.1532204925333,199.84612358757425,207.40741256466706,131.19002177010262,103.1646725126872,327.0386268782634,283.6747409361644,1283.9171217901958,510.91250155696906,568.5698029542634,529.8331650370048,798.1245962652824,638.355286044895,258.4257594066234,267.394071001135,540.570837497446,155.52786410804353,817.7056789776198,508.8886923530919,404.2028077579867,430.1811675447451,143.76555770962665,1073.1659307774635,276.63747547953443,104.50565115939891,96.62948000610373,200.28161411594942,138.3619718997962,174.06930935245313,905.2338555008313,378.68335232217447
178 ,Matnog,103.29963133883875,158.84313599586224,156.9566983842996,91.66313060511304,121.77608844945703,183.5191595813908,220.00678194148932,240.40063145850925,132.05977397303846,156.12129066161984,366.09533367472744,306.65723116130823,1592.4648585816049,526.3453525569312,568.1630386715595,659.9664925857147,887.9631176067223,791.2064865045345,402.2750561974854,329.0854046748351,804.4306354783114,218.6422283377343,1002.1257395656542,722.7806010822441,594.9693799946767,563.2724789409206,154.672474251109,1332.8214266925106,315.9892107744186,121.25499007974865,117.87986346802414,242.05977952117556,164.15896617608183,202.52597527764183,1145.1330342134272,447.3437908517789
