sample_id,spatial,temporal,group,LM1-4_Raw,LM4-5_Raw,LM5-6_Raw,LM6-11_Raw,LM7-11_Raw,LM7-9_Raw,LM9-10_Raw,LM1-10_Raw,LM1-2_Raw,LM2-3_Raw,LM6-10_Raw,LM6-9_Raw,LM11-17_Raw,LM7-12_Raw,LM6-12_Raw,LM7-14_Raw,LM9-13_Raw,LM9-14_Raw,LM12-14_Raw,LM13-14_Raw,LM12-15_Raw,LM12-13_Raw,LM14-18_Raw,LM13-16_Raw,LM13-15_Raw,LM13-18_Raw,LM14-15_Raw,LM15-16_Raw,LM6-15_Raw,LM16-18_Raw,LM17-18_Raw,LM17-19_Raw,LM16-19_Raw,LM18-19_Raw,LM15-20_Raw,LM11-20_Raw,LM17-20_Raw,LM1-4_Madj,LM4-5_Madj,LM5-6_Madj,LM6-11_Madj,LM7-11_Madj,LM7-9_Madj,LM9-10_Madj,LM1-10_Madj,LM1-2_Madj,LM2-3_Madj,LM6-10_Madj,LM6-9_Madj,LM11-17_Madj,LM7-12_Madj,LM6-12_Madj,LM7-14_Madj,LM9-13_Madj,LM9-14_Madj,LM12-14_Madj,LM13-14_Madj,LM12-15_Madj,LM12-13_Madj,LM14-18_Madj,LM13-16_Madj,LM13-15_Madj,LM13-18_Madj,LM14-15_Madj,LM15-16_Madj,LM6-15_Madj,LM16-18_Madj,LM17-18_Madj,LM17-19_Madj,LM16-19_Madj,LM18-19_Madj,LM15-20_Madj,LM11-20_Madj,LM17-20_Madj
Sde-CTlk_065 ,Taluksangay,Contemporary,CTlk,152.2021954906696,195.68563494096853,205.6010970041259,118.68556175323101,136.85665469775296,241.76778007807408,312.16941986238817,298.86194473644514,201.71616055698163,187.714028618135,472.4743056504978,402.7450489360484,2175.360711562248,692.802508864431,759.0847822490252,908.7790295718315,1202.92164758857,1051.7116715905931,492.7569466022878,405.0304418608064,1071.1078032827554,329.41421429448053,1318.766071171457,937.8777372792257,760.4484814084121,1209.4459184351156,751.1723338488979,209.32491653016376,1791.4410020113364,399.94558560804234,141.70281326032293,151.98357691109254,331.03940409715574,220.0441630972292,258.12491966441365,1560.6614614374062,614.9184177559574,123.47065164200001,155.2648044792,176.7646809316,98.5868293837,107.003231646,190.1537296013,250.9259163876,242.3471195397,157.6456681372,158.9713144907,387.3912482919,327.3551782765,1672.0386639289,535.0973142178,576.2082115765,702.468988485,936.8644436375,816.6684486827,391.3933592236,324.7145323949,827.2457426849,258.1214301835,1021.5715886481,725.8508002113,582.5034313076,935.0528766795,569.0092323703,170.4490332147,1374.4621515116,314.0806496153,113.427827875,120.7731808257,255.6509408135,174.1641864674,201.6460522597,1197.0001482631,475.1060807735
Sde-CTlk_097 ,Taluksangay,Contemporary,CTlk,144.65387985982267,185.4236253701507,192.97227423503097,115.86048724090539,121.61241981475416,226.98290783530382,275.24576794924565,318.68430068933424,200.6021796804063,182.06607059759924,438.1142592729435,371.8482308940706,1966.8779054633692,671.0033616221382,745.4438207830622,841.2568617534421,1142.0754245162664,978.9999635640545,452.7158090037943,381.7299352377411,956.6540562711267,303.0302551114163,1188.805846874602,841.9245463378294,673.7421681507623,1070.7971754957562,669.5443514889512,203.848185145441,1653.2718118831067,360.2461707108208,130.51567916139427,168.90136642028708,303.33718030055275,212.4597368911108,275.49415634682714,1367.7435810686227,599.1673767898998,125.6558779313,158.6856300774,174.311356388,102.2598938244,103.0515688454,193.1092703389,237.6236478948,276.7548408746,169.9357318798,162.7994497766,383.3145495645,323.4356786965,1647.6430094863,563.9353237745,619.2257365858,707.4011677747,965.2349486972,825.757502152,387.7146683021,328.9707316256,803.9790640534,257.1594749714,1001.0953575208,708.54680947480006,563.091707964,900.5312486411,555.3942509708,177.5240110348,1383.2536745011,306.1688600757,112.3597731506,144.6937333948,254.9134898727,181.5232980136,233.3131732671,1144.102200879,503.6786667123
Sde-ASac_014 ,Taluksangay,Historical,ASac,68.25271678005865,100.59993120097052,111.73243892554214,64.06927668968959,73.08290895229882,107.88167766430452,147.49392001178526,157.98708441211545,91.36741799714434,96.22812372300521,246.19227155792282,208.55943052646867,919.8925674150433,340.13444472556733,349.3366335414882,395.48865648947503,679.0171719849011,468.038756036868,225.9362821594619,261.2061977250349,466.40777856335114,265.34247081733815,575.2342416789876,312.7509157927599,238.93571132095354,380.08178335664803,336.45804811233165,108.51853835101157,791.2340775589106,165.72651161102738,70.45191884540823,81.16412124479628,124.65271006376078,105.00184016311334,125.60394784384778,665.7521414685497,254.14088145758853,109.9002631025,170.373017036,157.6218677155,97.7519699844,127.9832296497,186.3891873669,242.5116915361,254.6244836247,160.1623248072,140.4911149356,386.9132570512,334.3350384875,1674.7893785439,612.4536239786,654.3675603586,710.8367010468,1199.6916027448,832.5469277422,381.7039242733,432.0562490377,839.9208955592,462.3588498616,1028.8640560164,560.5604228836,438.4181335196,682.855411467,633.2559694131,173.2484924456,1446.4883631296,287.3305597592,116.9450514174,136.982456763,224.5178912008,178.8237406644,220.3868632314,1218.0137343243,457.2525210017
Sde-CTlk_049 ,Taluksangay,Contemporary,CTlk,149.06421307892788,221.84309493407721,200.88709934911205,125.12454975491413,144.58879981858902,242.8117221362264,296.56814560591295,310.12709403367194,184.97349191257106,214.9105636790337,509.30005370355104,418.652097456886,2189.1681408736654,737.2570052208729,772.8853400024224,923.9437054571722,1260.678791034687,1091.093636396313,513.533320218036,431.8339103605112,1101.449071603113,333.57765742089197,1344.6954127832669,939.7746186255991,784.786046664497,1226.903838271203,791.4688292643242,188.67710395540868,1830.954849316285,390.6565267072342,131.36475504202056,194.2173625198325,347.2507903925488,230.1751346636078,271.5770188882704,1580.6810029137475,608.8280858806447,119.6207345291,173.9206366134,171.3641870015,102.9405718537,111.6158505724,188.6122186472,235.7019661889,248.7643269924,142.7253970913,180.4422856708,413.3096291015,336.648272123,1659.8543522552,561.8589991434,578.3607266512,704.7212970369,969.2067361717,836.2127418141,403.0553026918,342.2592495937,839.3628708557,258.100123469,1027.9602262428,717.7206826333,592.8963047373,935.9819199637,590.9639233001,152.0084050612,1385.6165366705,302.9664760926,103.9464142569,152.506102269,264.6020336735,179.9879060416,209.4564854296,1195.7967667385,464.1524466877
Sde-CTlk_021 ,Taluksangay,Contemporary,CTlk,123.32641171350929,196.73271965966921,172.81878555715522,109.06850248504372,136.15321482396223,222.9624162765779,274.3077996819084,260.9460763638725,165.1559897236852,164.93728549657894,442.6638108696147,355.8208327102279,1724.7325072608826,540.5740717406356,604.6462640821987,720.955373494088,962.8863999164647,882.1499508211118,425.51773147690335,338.041579627418,883.4633278751529,238.44984445633432,1056.5568834603087,796.8329516586272,660.2389414171888,1020.7690800350293,586.613928027702,169.91751607615385,1451.349324950544,338.58354848125754,130.12566391073685,142.57637825390293,273.37018982853624,183.16659323525673,236.93850698018667,1221.4943631137928,503.2598537093534,118.7725407419,188.714331015,168.1852283664,105.48914297420001,130.2591467052,213.5379987641,263.7430073224,251.2922794101,157.9939854936,160.0803864203,427.1362453951,342.8021231919,1645.0093510555,516.03718091,575.4030885796,688.3293831474,920.5580200683,842.920216485,408.2534532841,324.868572715,843.3548755264,228.2171926216,1009.133110926,760.9409161098,629.3329185203,974.6080047027,558.0326763954,163.7538008457,1383.8131193007,324.1824912103,125.0200063817,136.8026529285,260.955788661,175.623653675,226.646606647,1164.5842660453,480.4464676205
Sde-CTlk_063 ,Taluksangay,Contemporary,CTlk,133.64503078532323,208.25502003534032,185.21823416175857,117.95896564933074,166.90694949923446,229.38622920271393,311.553158711158,310.35952897059565,167.15065663014903,199.719557544573,463.8330378639495,401.0329076464923,2069.0580776856536,659.5885983175876,741.6602893380499,899.9754243653766,1126.667526776169,1042.6303122552501,537.1989125134561,412.38120096145263,1043.9379578953724,298.6518447061896,1214.9721946797797,915.1879292309314,760.253694748069,1173.8329517976613,671.4235424635036,190.92075776166934,1737.445968028635,392.4980839716418,145.04018893124072,146.59719146112582,306.35461923347907,209.16559498292258,290.8013771839641,1453.8415108966485,615.223639770125,112.8351690989,172.7018436301,163.9025088397,101.5168723493,136.7765495245,188.8809872233,261.094422973,261.947766573,136.9278828387,174.5921642735,395.0010815251,339.1222510293,1672.2839149504,535.2001001866,593.4068178466,730.7238071999,920.3742079128,849.6793455094,445.8760469579,344.8586177258,847.0322906485,245.1724324808,988.1960883212,743.8125948627,612.7641353794,953.2225812875,536.3006131167,161.6829470829,1402.2121497061,322.7895674389,121.1396054941,121.7197166722,248.5549881443,173.1131441824,238.1405623813,1173.0117182333,499.3410057926
Sde-CTlk_016 ,Taluksangay,Contemporary,CTlk,131.21190735360108,204.0519061872739,177.19527388011792,127.0746010412781,148.0218039139505,234.95680416725548,300.4039239649509,334.5386293865179,175.99347368411136,198.322034104635,459.0831761568376,390.4663299873755,2145.270491556792,732.3595943179962,827.1038310399728,884.1382610115343,1210.6168884690692,1033.9654240466311,510.3254738192481,448.3871583553659,1059.812205469351,297.3662593033044,1322.9202105046395,936.5139505445768,782.5031777849147,1194.9879865190444,768.2209539472938,186.94526231696818,1826.0664176593054,419.03202749323344,145.16693982446552,155.1542011471491,323.12914963209363,221.8133640162603,285.66086483319685,1528.9296246492183,616.3410338257221,107.4492538451,163.5969586111,153.3820899897,106.439964003,117.02113702,186.8040286805,243.8526532871,273.8474796166,139.0766076632,169.2154549241,379.7887424467,320.3478850439,1668.5466637106,572.2609527917,635.6741393368,691.3849453043,953.5201787564,812.0764026732,409.5693487118,363.0657508563,828.0902687612,235.5799325913,1036.6296605227,733.1997584586,606.6286660003,934.6316707356,589.2398938829,153.6392037985,1417.8275504642,332.6666352505,117.3700240138,124.5742257435,252.4601071176,177.4210393527,225.6497630563,1186.7413446884,481.7634537016
Sde-CTlk_068 ,Taluksangay,Contemporary,CTlk,145.1854132439275,233.84950597153286,191.60044205953704,123.38635132890508,149.42013450084295,268.36635519872823,300.67874428166687,306.78836898736887,190.20318126469388,205.73483822836133,508.93435555869087,412.4495930736021,2163.145238180553,695.9672661980089,758.1882761048869,912.2496095212593,1223.6596494942537,1113.9325758469943,482.6070276809487,374.60470668233734,1122.5130996627345,304.9611111255991,1275.1826823261872,1007.7134893669727,834.5336837156665,1224.6068815779574,774.31188715269,202.4429970346218,1836.3278308939775,360.20501572022835,126.92004321812188,197.75793409681435,321.81808589704855,231.36428504678508,326.773637438824,1526.2625686071847,637.2215578293315,117.5209928397,185.0970340062,164.4674999231,102.2928512751,116.5258443701,210.5443508654,241.1380932701,248.2298138999,148.2652255738,173.930161626,416.4198647996,334.5171430649,1658.0793343942,536.0913218278,573.8707112432,703.2549598588,950.5271439456,862.698334194,382.4090378289,299.6286150553,864.6078804647,238.3517226618,985.175165941,777.810910521,637.472722428,944.2293962253,584.8358412529,164.4913538974,1405.0017800394,282.1578654772,101.3585322446,156.7702275653,247.8587261351,182.6766796066,254.6156425552,1167.3729344624,491.0116067487
Sde-CTlk_042 ,Taluksangay,Contemporary,CTlk,121.80153975582574,222.90259351925448,185.13831896355222,123.4124943296261,168.38236621727947,228.45376950989453,327.9849660941489,312.47303561990753,183.59662959575266,196.61083105182686,469.7686673541883,407.3652638657474,2138.78999644791,676.8182131878617,770.7644253682184,894.7399572344244,1202.4114172397274,1036.89479996043,527.0896410822832,454.3675794185694,1057.331762091847,346.4993925328586,1312.5378816251364,904.7078201465102,750.6197455971231,1189.3444948332212,698.1175799791895,206.6540044369818,1776.5988589012575,463.1189012528423,164.92979309075713,146.06520133816943,336.055653921549,240.75448192920518,247.83745663163992,1553.0833622543157,586.137077029734,99.9092992061,179.0396782994,160.4504985292,103.525249618,133.3784356303,181.9811631813,266.7046154407,256.2119592356,145.3697785913,167.9773939396,389.2430821414,334.7638161714,1666.993257172,529.9493942246,593.6749841962,701.1104517411,948.9429459658,816.0179072106,423.7996228805,368.5557930726,827.8522670041,275.0374961885,1030.5861074964,709.7445170666,583.1469815799,932.1243486432,536.6540132561,170.1145308546,1382.3304218961,368.3746453602,133.5850109564,117.4913155358,263.1000304522,192.9300444728,196.1572762805,1208.0367388081,459.0958810926
Sde-ASac_009 ,Taluksangay,Historical,ASac,75.21949882005329,111.02216096797972,123.09307197929543,72.43765991920222,68.47659345060909,114.77295706585242,175.99025957779597,168.10374339439917,88.2972401519436,123.84310795538848,266.4655726436907,215.1161739429418,1051.3927883964632,373.19983420727834,391.75801452566355,451.2132376662391,657.0500063937905,524.7008535955797,255.250416047085,229.36476778967167,531.139690491654,203.67028633853303,649.0397555500358,440.97706213848585,342.712400638334,536.7616076412693,377.7253500256503,120.6995717680888,895.7493544760833,185.39391750068282,73.12591870116918,86.8663822838847,145.64451570179344,118.08510987402262,156.64002821003317,726.6398251944976,324.7564666038229,108.6278819141,166.6999977608,160.5192836459,100.3504588947,105.5070313678,175.0066188462,258.2882941169,242.9387006742,136.1505832291,165.832069646,377.6769560406,309.5974920825,1669.2907994014,587.4958145094,635.7943405481,709.3133750777,1019.3170268718,818.2563463082,382.5362976665,338.1795946281,836.2009794084,312.6055759246,1016.4593889121,691.731032507,547.4039408816,843.5206455617,615.2795991258,173.1616658082,1426.6982069966,283.45272039,108.1120631429,130.0824244653,229.3269905403,178.0705469773,241.7096984992,1158.0282166942,510.9260436287
Sde-CTlk_019 ,Taluksangay,Contemporary,CTlk,125.30810686495906,219.62403602757146,187.55579194682306,120.52747550517262,142.3001573334689,263.19447195321175,273.4480744064036,294.2747095409322,175.13976688450856,206.1488846272276,462.2847542225462,369.78052367869503,1970.9296957117065,602.20742133363,692.4170699609593,821.083709245105,1121.0692856393487,1009.6547059457356,479.32838489791106,368.04041056994,994.5925083752891,306.5337887646482,1195.052607995966,848.4238576313671,704.7862637555869,1125.6887294378894,656.5190543703129,179.05671185881334,1640.4698127481558,396.2117674087429,151.87762408007958,153.44453769737137,323.845034271347,198.19565533202282,244.93459624936594,1402.9815779597536,568.0031883968609,109.318148106,188.8469314018,169.9437017626,106.7839466044,121.1909775844,225.0205733808,237.1296736451,256.656026628,149.1165816693,184.9621247577,406.109438929,323.0050320305,1659.957349018,508.8006006928,578.4329477733,694.0878184969,952.3433921252,856.0359695351,412.4465699551,318.6118609141,840.2961331079,261.4349556797,1011.6313648445,717.7731076636,592.2612863158,951.6956119525,547.6954882717,156.5913761561,1380.0091349526,338.4060745388,131.3472939495,132.0723832248,273.5914136414,170.1489227703,208.484048765,1179.9706782344,480.0097002272
